entrezgene_id	Number of datasets	max(|logFC|)	logFC	ensembl_gene_id	external_gene_name
22943	2	3.31158270538799	3.31158270538799	ENSG00000107984	DKK1
2353	6	3.22572696217788	3.22572696217788	ENSG00000170345	FOS
1280	2	2.73489133135131	2.73489133135131	ENSG00000139219	COL2A1
145837	2	2.44654200027724	2.44654200027724	ENSG00000245750	DRAIC
11247	1	2.32573310282061	2.32573310282061	ENSG00000182379	NXPH4
3294	2	2.32141143644548	2.32141143644548	ENSG00000086696	HSD17B2
4057	1	2.30780776863402	2.30780776863402	ENSG00000012223	LTF
4983	1	2.30714500963825	2.30714500963825	ENSG00000079482	OPHN1
1669	1	2.26307448918006	2.26307448918006	ENSG00000285318	DEFA4
1669	1	2.26307448918006	2.26307448918006	ENSG00000164821	DEFA4
157693	2	2.17029989909428	2.17029989909428	ENSG00000182366	FAM87A
400728	2	2.17029989909428	2.17029989909428	ENSG00000177757	FAM87B
6533	2	2.16808911457164	2.16808911457164	ENSG00000131389	SLC6A6
10370	2	2.12090139227649	2.12090139227649	ENSG00000164442	CITED2
11249	2	2.04445949127674	2.04445949127674	ENSG00000144227	NXPH2
4036	3	2.04043013230263	2.04043013230263	ENSG00000081479	LRP2
1088	1	2.03899122450399	2.03899122450399	ENSG00000124469	CEACAM8
387882	1	2.03530601075781	2.03530601075781	ENSG00000235162	C12orf75
24141	1	2.02365238404493	2.02365238404493	ENSG00000125869	LAMP5
56603	1	2.00154335874297	2.00154335874297	ENSG00000003137	CYP26B1
85445	2	1.97034993533573	1.97034993533573	ENSG00000152910	CNTNAP4
389834	3	1.92165944837571	1.92165944837571		
10673	2	1.91589413538797	1.91589413538797	ENSG00000102524	TNFSF13B
23189	4	1.91506448217543	1.91506448217543	ENSG00000107104	KANK1
9317	3	1.88556484243339	1.88556484243339	ENSG00000165983	PTER
5649	2	1.88250365490639	1.88250365490639	ENSG00000189056	RELN
3769	2	1.87733758557218	1.87733758557218	ENSG00000115474	KCNJ13
5887	2	1.87541049302585	1.87541049302585	ENSG00000119318	RAD23B
407025	3	1.86298576177612	1.86298576177612	ENSG00000284203	MIR29B2
100128537	3	1.86298576177612	1.86298576177612		
407026	3	1.86298576177612	1.86298576177612	ENSG00000284214	MIR29C
84735	2	1.85822177750081	1.85822177750081	ENSG00000150656	CNDP1
844	3	1.8548930676159	1.8548930676159	ENSG00000143318	CASQ1
159296	2	1.82794470314952	1.82794470314952	ENSG00000119919	NKX2-3
80309	2	1.82526942003526	1.82526942003526	ENSG00000153820	SPHKAP
114224	1	1.807301529571	1.807301529571		
54541	2	1.79674840140612	1.79674840140612	ENSG00000168209	DDIT4
3770	1	1.79243060489214	1.79243060489214	ENSG00000182324	KCNJ14
729428	5	1.79166174108722	1.79166174108722	ENSG00000275113	GAGE2E
100008586	5	1.79166174108722	1.79166174108722	ENSG00000236362	GAGE12F
2577	5	1.79166174108722	1.79166174108722		
2579	5	1.79166174108722	1.79166174108722	ENSG00000236362	GAGE12F
2579	5	1.79166174108722	1.79166174108722	ENSG00000215269	GAGE12G
729442	4	1.79166174108722	1.79166174108722	ENSG00000224902	GAGE12H
729447	4	1.79166174108722	1.79166174108722	ENSG00000189064	GAGE2A
645073	5	1.79166174108722	1.79166174108722	ENSG00000215269	GAGE12G
2574	4	1.79166174108722	1.79166174108722	ENSG00000236362	GAGE12F
26748	5	1.79166174108722	1.79166174108722	ENSG00000236362	GAGE12F
26748	5	1.79166174108722	1.79166174108722	ENSG00000215269	GAGE12G
729422	4	1.79166174108722	1.79166174108722	ENSG00000237671	GAGE12C
100132399	4	1.79166174108722	1.79166174108722	ENSG00000227488	GAGE12D
2578	5	1.79166174108722	1.79166174108722	ENSG00000236362	GAGE12F
2578	5	1.79166174108722	1.79166174108722	ENSG00000215269	GAGE12G
2576	5	1.79166174108722	1.79166174108722	ENSG00000236362	GAGE12F
2576	5	1.79166174108722	1.79166174108722	ENSG00000215269	GAGE12G
729431	4	1.79166174108722	1.79166174108722	ENSG00000216649	GAGE12E
4124	4	1.79096344453016	1.79096344453016	ENSG00000112893	MAN2A1
220213	4	1.7636485862358	1.7636485862358	ENSG00000165312	OTUD1
391267	2	1.76203743127287	1.76203743127287	ENSG00000291280	ANKRD20A11P
284232	2	1.76203743127287	1.76203743127287		
53353	1	1.74175709618501	1.74175709618501	ENSG00000168702	LRP1B
56243	4	1.73419564361372	1.73419564361372	ENSG00000120549	KIAA1217
100500854	3	1.71805319291601	1.71805319291601	ENSG00000265996	MIR3671
5352	2	1.67234177461316	1.67234177461316	ENSG00000152952	PLOD2
253017	1	1.65185545286646	1.65185545286646	ENSG00000205678	TECRL
55647	2	1.64847477686602	1.64847477686602	ENSG00000139832	RAB20
56919	1	1.64608753189435	1.64608753189435	ENSG00000005100	DHX33
492311	1	1.62600733256843	1.62600733256843	ENSG00000182700	IGIP
